CUSTID,SKU,CATEGORY,REF_COST,MAX_SELLPRICE,MAP,FINAL_PRICE
00066 ,0028853,L L ,2.5882499999999995,0,0,25882.5
00066 ,0054122,L L ,1.5986249999999997,0,0,15986.25
00066 ,0003097,L L ,0,1,0,0
00066 ,0022552,L L ,1.1885649999999999,0,0,11885.65
00066 ,0003098,L L ,3.1058999999999997,0,0,31059
00066 ,0003099,L L ,1.6514049999999998,0,0,16514.05
00066 ,0003100,L L ,1.7792949999999996,0,0,17792.95
00066 ,0003101,L L ,1.8960199999999998,0,0,18960.2
00066 ,0068012,L L ,2.22894,0,0,22289.4
00066 ,0003102,L L ,0.9946999999999999,0,0,9947
00066 ,0036259,L L ,1.7051999999999998,0,0,17052
00066 ,0031394,L L ,3.045,0,0,30450
00066 ,0035017,L L ,0,0,0,0
00066 ,0022553,L L ,1.2981849999999997,0,0,12981.85
00066 ,0003104,L L ,2.02391,0,0,20239.1
00066 ,0031976,L L ,1.4372399999999999,0,0,14372.4
00066 ,0003105,L L ,0.54325,0,0,5432.5
00066 ,0003106,L L ,0.54325,0,0,5432.5
00066 ,0003107,L L ,0.82,0,0,8200
00066 ,0003109,L L ,1.4372399999999999,0,0,14372.4
00066 ,0050630,L L ,0.63945,0,0,6394.5
00066 ,0027803,L L ,2.1325149999999997,0,0,21325.15
00066 ,0003110,L L ,0,0,0,0
00066 ,0003111,L L ,1.5133649999999998,0,0,15133.65
00066 ,0003112,L L ,0,0,0,0
00066 ,0003113,L L ,1.15,0,0,11500
00066 ,0003114,L L ,3.985905,0,0,39859.05
00066 ,0003115,L L ,3.8092949999999997,0,0,38092.95
00066 ,0003116,L L ,2.1944299999999997,0,0,21944.3
00066 ,0003117,L L ,0,0,0,0
00066 ,0003119,L L ,0,0,0,0
00066 ,0003120,L L ,0,0,0,0
00066 ,0003121,L L ,8.766555,0,0,87665.55
00066 ,0003122,L L ,4.24473,0,0,42447.3
00066 ,0003123,L L ,6.125525,0,0,61255.25
00066 ,0003124,L L ,4.4254,0,0,44254
00066 ,0003125,L L ,0,0,0,0
00066 ,0003127,L L ,2.9749649999999996,0,0,29749.65
00066 ,0003128,L L ,0,0,0,0
00066 ,0003129,L L ,2.1325149999999997,0,0,21325.15
00066 ,0032500,L L ,1.11853,0,0,11185.3
